dt,password,captcha,country,chess_img,chess_move,chess_solution,duration_list,youtube_url,absence_eng_letter,scr_letter,yt_ok
2023-07-24 13:49:19.306230,🐔🐛🐛🐛🐛111111111111$0XXXVpepsimayHe iamlovedhobby🌒🏋️‍♂️🏋️‍♂️🏋️‍♂️nbfx5polandRxg6+HHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHyoutu.be/viiEHzz2EkA,nbfx5,poland,https://neal.fun/password-game/chess/puzzle105.svg,White to move,Rxg6+,"['10', '55']",youtu.be/viiEHzz2EkA,wqjc,"(23, 17)",True
2023-07-24 13:53:20.371573,🐔🐛🐛🐛🐛1111111111111111111111$0XXXVpepsimayHe iamlovedhobby🌒🏋️‍♂️🏋️‍♂️🏋️‍♂️cnwycsingaporeRxh3+HHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHyoutu.be/wdiolszkeio,cnwyc,singapore,https://neal.fun/password-game/chess/puzzle86.svg,Black to move,Rxh3+,"['6', '41']",youtu.be/wdiolszkeio,qjf,"(17, 10)",True
2023-07-24 13:54:34.323224,🐔🐛🐛🐛🐛111111111111111111$0XXXVpepsimayHe iamlovedhobby🌒🏋️‍♂️🏋️‍♂️🏋️‍♂️nbfx5estoniaNe2+HHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHyoutu.be/ia___-tHQPvc,nbfx5,estonia,https://neal.fun/password-game/chess/puzzle177.svg,Black to move,Ne2+,"['9', '1']",youtu.be/ia___-tHQPvc,zwrkjg,"(26, 23)",False
2023-07-24 14:06:17.302262,🐔🐛🐛🐛🐛1111111111111111111$0XXXVpepsimayHe iamlovedhobby🌒🏋️‍♂️🏋️‍♂️🏋️‍♂️ndyfeitalyBf6+HHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHyoutu.be/bHqiYQqclHk,ndyfe,italy,https://neal.fun/password-game/chess/puzzle174.svg,White to move,Bf6+,"['22', '1']",youtu.be/bHqiYQqclHk,zwrjg,"(26, 23)",False
2023-07-24 14:10:12.074363,🐔🐛🐛🐛🐛11111111111111$0XXXVpepsimayHe iamlovedhobby🌒🏋️‍♂️🏋️‍♂️🏋️‍♂️cdcb3kenyaNh8+HHHHHHHHHyoutu.be/fRpfuTQAyhI,cdcb3,kenya,https://neal.fun/password-game/chess/puzzle128.svg,White to move,Nh8+,"['27', '23']",youtu.be/fRpfuTQAyhI,zwjg,"(26, 23)",False
2023-07-24 14:13:09.697964,🐔🐛🐛🐛🐛1111111111111111111$0XXXVpepsimayHe iamlovedhobby🌒🏋️‍♂️🏋️‍♂️🏋️‍♂️wce5nnetherlandsRc1+HHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHyoutu.be/cGqEBvlmFAQ,wce5n,netherlands,https://neal.fun/password-game/chess/puzzle179.svg,Black to move,Rc1+,"['20', '47']",youtu.be/cGqEBvlmFAQ,zkj,"(26, 11)",False
2023-07-24 15:21:32.521607,🐔🐛🐛🐛🐛111111111111111$0XXXVpepsimayHe iamlovedhobby🌒🏋️‍♂️🏋️‍♂️🏋️‍♂️gnc3niranNe7HHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHyoutu.be/PBqjFihluag,gnc3n,iran,https://neal.fun/password-game/chess/puzzle15.svg,White to move,Ne7,"['34', '40']",youtu.be/PBqjFihluag,zwk,"(26, 23)",False
2023-07-24 17:35:17.581503,🐔🐛🐛🐛🐛1111111111111111$0XXXVpepsimayHe iamlovedhobby🌒🏋️‍♂️🏋️‍♂️🏋️‍♂️x3fwfnetherlandsRxf6+HHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHyoutu.be/ze-yx_Zgpec,x3fwf,netherlands,https://neal.fun/password-game/chess/puzzle47.svg,White to move,Rxf6+,"['20', '52']",youtu.be/ze-yx_Zgpec,qkj,"(17, 11)",False
2023-07-24 17:40:16.099055,🐔🐛🐛🐛🐛111111111111111111111$0XXXVpepsimayHe iamlovedhobby🌒🏋️‍♂️🏋️‍♂️🏋️‍♂️xngxcjapanQxa3+HHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHyoutu.be/y1Ek-yBSlAw,xngxc,japan,https://neal.fun/password-game/chess/puzzle145.svg,Black to move,Qxa3+,"['24', '1']",youtu.be/y1Ek-yBSlAw,zrf,"(26, 18)",False
2023-07-24 17:42:57.187610,🐔🐛🐛🐛🐛111111111111$0XXXVpepsimayHe iamlovedhobby🌒🏋️‍♂️🏋️‍♂️🏋️‍♂️y5dppgermanyBf7+HHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHyoutu.be/sssqc1Qoknc,y5dpp,germany,https://neal.fun/password-game/chess/puzzle126.svg,White to move,Bf7+,"['30', '52']",youtu.be/sssqc1Qoknc,zwj,"(26, 23)",False
